CYFE			-5.0	A	48.746111	-69.097222	89.3	Forestville	ca		Forestville	57
CYFO	YFO		-6.0	A	54.678055	-101.681667	303.9	Flin Flon	ca		Flin Flon	58
CYFR	YFR		-7.0	A	61.180832	-113.689722	160.3	Fort Resolution	ca		Fort Resolution	59
CYFS	YFS		-7.0	A	61.760153	-121.236525	169.2	Fort Simpson	ca		Fort Simpson	60
CYGK	YGK		-5.0	A	44.225277	-76.596944	93.0	Kingston	ca		Kingston	61
CYGL	YGL		-5.0	A	53.625278	-77.704167	194.8	La Grande Riviere	ca		La Grande Riviere	62
CYGP	YGP		-5.0	A	48.775278	-64.478611	32.9	Gaspe	ca		Gaspe	63
CYGQ	YGQ		-5.0	A	49.778332	-86.939445	348.7	Geraldton Greenstone Regional	ca		Geraldton	64
CYGR	YGR		-4.0	A	47.424721	-61.778056	10.7	Iles De La Madeleine	ca		Iles De La Madeleine	65
CYHB	YHB		-6.0	N	52.816666	-102.31139	358.1	Hudson Bay	ca		Hudson Bay	66
CYHD	YHD		-6.0	A	49.831667	-92.744167	412.7	Dryden Rgnl	ca		Dryden	67
CYHI	YHI		-7.0	A	70.762778	-117.806111	35.7	Ulukhaktok Holman	ca		Holman Island	68
CYHK	YHK		-6.0	A	68.635556	-95.849722	46.3	Gjoa Haven	ca		Gjoa Haven	69
CYHM	YHM		-5.0	A	43.173611	-79.935	237.7	Hamilton	ca		Hamilton	70
CYHU	YHU		-5.0	A	45.5175	-73.416944	27.4	St Hubert	ca		Montreal	71
CYHY	YHY		-7.0	A	60.839722	-115.782778	165.5	Hay River	ca		Hay River	72
CYHZ	YHZ		-4.0	A	44.880833	-63.50861	145.4	Halifax Intl	ca		Halifax	73
CYIB	YIB		-6.0	A	48.773888	-91.638611	429.2	Atikokan Muni	ca		Atikokan	74
CYIO	YIO		-5.0	A	72.683334	-77.966667	55.2	Pond Inlet	ca		Pond Inlet	75
CYJN	YJN		-5.0	A	45.294445	-73.281111	41.5	St Jean	ca		St. Jean	76
CYJT	YJT		-4.0	A	48.544167	-58.549999	24.4	Stephenville	ca		Stephenville	77
CYKA	YKA		-8.0	A	50.702222	-120.444444	345.3	Kamloops	ca		Kamloops	78
CYKF	YKF		-5.0	A	43.460833	-80.378611	321.3	Waterloo	ca		Waterloo	79
CYKL	YKL		-4.0	A	54.805278	-66.805278	520.9	Schefferville	ca		Schefferville	80
CYKY	YKY		-6.0	N	51.5175	-109.180833	694.0	Kindersley	ca		Kindersley	81
CYKZ	YKZ		-5.0	A	43.862221	-79.37	198.1	Buttonville Muni	ca		Toronto	82
CYLD	YLD		-5.0	A	47.82	-83.346667	448.1	Chapleau	ca		Chapleau	83
CYLJ	YLJ		-6.0	N	54.125278	-108.522778	480.4	Meadow Lake	ca		Meadow Lake	84
CYLL	YLL		-6.0	A	53.309166	-110.0725	668.4	Lloydminster	ca		Lloydminster	85
CYLT	YLT		-5.0	A	82.517778	-62.280556	30.5	Alert	ca		Alert	86
CYLW	YLW		-8.0	A	49.956112	-119.377778	429.5	Kelowna	ca		Kelowna	87
CYMA	YMA		-8.0	A	63.616389	-135.868333	503.8	Mayo	ca		Mayo	88
CYMJ	YMJ		-6.0	N	50.330278	-105.559167	576.7	Moose Jaw Air Vice Marshal C M Mcewen	ca		Moose Jaw	89
CYMM	YMM		-7.0	A	56.653333	-111.221944	369.1	Fort Mcmurray	ca		Fort Mcmurray	90
CYMO	YMO		-5.0	A	51.291111	-80.607778	9.1	Moosonee	ca		Moosonee	91
CYMW	YMW		-5.0	A	46.272778	-75.990556	199.9	Maniwaki	ca		Maniwaki	92
CYMX	YMX		-5.0	A	45.681944	-74.005278	82.3	Montreal Intl Mirabel	ca		Montreal	93
CYNA	YNA		-4.0	A	50.19	-61.789167	11.9	Natashquan	ca		Natashquan	94
CYND	YND		-5.0	A	45.521694	-75.563589	64.3	Gatineau	ca		Gatineau	95
CYNM	YNM		-5.0	A	49.761667	-77.802778	279.8	Matagami	ca		Matagami	96
CYOC	YOC		-8.0	A	67.570556	-139.839167	251.2	Old Crow	ca		Old Crow	97
CYOD	YOD		-7.0	A	54.404999	-110.279444	541.0	Cold Lake	ca		Cold Lake	98
CYOJ	YOJ		-7.0	A	58.621389	-117.164722	338.3	High Level	ca		High Level	99
CYOW	YOW		-5.0	A	45.3225	-75.669167	114.0	Ottawa Macdonald Cartier Intl	ca		Ottawa	100
CYPA	YPA		-6.0	N	53.214167	-105.672778	428.2	Prince Albert Glass Field	ca		Prince Albert	101
CYPE	YPE		-7.0	A	56.226944	-117.447222	570.9	Peace River	ca		Peace River	102
CYPG	YPG		-6.0	A	49.903056	-98.273889	269.7	Southport	ca		Portage-la-prairie	103
CYPK			-8.0	A	49.21611	-122.71	3.4	Pitt Meadows	ca		Pitt Meadows	104
CYPL	YPL		-6.0	A	51.446388	-90.214167	386.2	Pickle Lake	ca		Pickle Lake	105
CYPN	YPN		-5.0	A	49.836389	-64.288611	50.9	Port Menier	ca		Port Menier	106
CYPQ	YPQ		-5.0	A	44.23	-78.363333	191.4	Peterborough	ca		Peterborough	107
CYPR	YPR		-8.0	A	54.28611	-130.444722	35.4	Prince Rupert	ca		Prince Pupert	108
CYPY	YPY		-7.0	A	58.767223	-111.117222	232.0	Fort Chipewyan	ca		Fort Chipewyan	109
CYQA	YQA		-5.0	A	44.974722	-79.303333	281.9	Muskoka	ca		Muskoka	110
CYQB	YQB		-5.0	A	46.791111	-71.393333	74.4	Quebec Jean Lesage Intl	ca		Quebec	111
CYQF	YQF		-7.0	A	52.182222	-113.894444	904.6	Red Deer Regional	ca		Red Deer Industrial	112
CYQG	YQG		-5.0	A	42.275556	-82.955556	189.6	Windsor	ca		Windsor	113
CYQH	YQH		-8.0	A	60.116389	-128.8225	687.3	Watson Lake	ca		Watson Lake	114
CYQK	YQK		-6.0	A	49.788334	-94.363056	406.0	Kenora	ca		Kenora	115
CYQL	YQL		-7.0	A	49.630278	-112.799722	928.7	Lethbridge	ca		Lethbridge	116
CYQM	YQM		-4.0	A	46.112221	-64.678611	70.7	Greater Moncton Intl	ca		Moncton	117
CYQQ	YQQ		-8.0	A	49.710833	-124.886667	25.6	Comox	ca		Comox	119
CYQR	YQR		-6.0	N	50.431944	-104.665833	577.3	Regina Intl	ca		Regina	120
CYQT	YQT		-5.0	A	48.371944	-89.323889	199.0	Thunder Bay	ca		Thunder Bay	121
CYQU	YQU		-7.0	A	55.179722	-118.885	669.0	Grande Prairie	ca		Grande Prairie	122
CYQV	YQV		-6.0	N	51.264721	-102.461667	498.3	Yorkton Muni	ca		Yorkton	123
CYQW	YQW		-6.0	N	52.769167	-108.24361	548.3	North Battleford	ca		North Battleford	124
CYQX	YQX		-4.0	A	48.936944	-54.568056	151.2	Gander Intl	ca		Gander	125
CYQY	YQY		-4.0	A	46.161388	-60.047779	61.9	Sydney	ca		Sydney	126
CYQZ	YQZ		-8.0	A	53.026112	-122.510278	545.3	Quesnel	ca		Quesnel	127
CYRB	YRB		-6.0	A	74.716944	-94.969444	65.5	Resolute Bay	ca		Resolute	128
CYRI	YRI		-5.0	A	47.764444	-69.584722	130.1	Riviere Du Loup	ca		Riviere Du Loup	129
CYRJ	YRJ		-5.0	A	48.52	-72.265556	178.6	Roberval	ca		Roberval	130
CYRM	YRM		-7.0	A	52.429722	-114.904167	988.8	Rocky Mountain House	ca		Rocky Mountain House	131
CYRT	YRT		-6.0	A	62.81139	-92.115833	28.7	Rankin Inlet	ca		Rankin Inlet	132
CYSB	YSB		-5.0	A	46.625	-80.798889	347.8	Sudbury	ca		Sudbury	133
CYSC	YSC		-5.0	A	45.438611	-71.691389	241.4	Sherbrooke	ca		Sherbrooke	134
CYSJ	YSJ		-4.0	A	45.316111	-65.890278	108.8	Saint John	ca		St. John	135
CYSM	YSM		-7.0	A	60.020278	-111.961944	204.5	Fort Smith	ca		Fort Smith	136
CYSR	YSR		-5.0	A	72.982222	-84.613611	641.9	Nanisivik	ca		Nanisivik	137
CYSU	YSU		-4.0	A	46.440556	-63.833611	17.1	Summerside	ca		Summerside	138
CYSY	YSY		-7.0	A	71.993889	-125.2425	86.0	Sachs Harbour	ca		Sachs Harbour	139
CYTE	YTE		-5.0	A	64.23	-76.526667	50.0	Cape Dorset	ca		Cape Dorset	140
CYTH	YTH		-6.0	A	55.801111	-97.864166	222.2	Thompson	ca		Thompson	141
CYTR	YTR		-5.0	A	44.118889	-77.528056	86.3	Trenton	ca		Trenton	142
CYTS	YTS		-5.0	A	48.569721	-81.376667	294.7	Timmins	ca		Timmins	143
CYTZ	YTZ		-5.0	A	43.627499	-79.396167	76.5	City Centre	ca		Toronto	144
CYUB	YUB		-7.0	A	69.433334	-133.026389	4.6	Tuktoyaktuk	ca		Tuktoyaktuk	145
CYUL	YUL		-5.0	A	45.470556	-73.740833	36.0	Pierre Elliott Trudeau Intl	ca		Montreal	146
CYUT	YUT		-6.0	A	66.521389	-86.224722	24.4	Repulse Bay	ca		Repulse Bay	147
CYUX	YUX		-5.0	A	68.776111	-81.243611	8.2	Hall Beach	ca		Hall Beach	148
CYUY	YUY		-5.0	A	48.206111	-78.835556	301.1	Rouyn Noranda	ca		Rouyn	149
CYVC	YVC		-6.0	N	55.15139	-105.261944	378.6	La Ronge	ca		La Ronge	150
CYVG	YVG		-7.0	A	53.355833	-110.82389	617.2	Vermilion	ca		Vermillion	151
CYVM	YVM		-5.0	A	67.545833	-64.031389	6.4	Qikiqtarjuaq	ca		Broughton Island	152
CYVO	YVO		-5.0	A	48.053333	-77.782778	337.4	Val D Or	ca		Val D'or	153
CYVP	YVP		-5.0	A	58.096111	-68.426944	39.3	Kuujjuaq	ca		Quujjuaq	154
CYVQ	YVQ		-7.0	A	65.281617	-126.798219	72.5	Norman Wells	ca		Norman Wells	155
CYVR	YVR		-8.0	A	49.193889	-123.184444	4.3	Vancouver Intl	ca		Vancouver	156
CYVT	YVT		-6.0	N	55.841944	-108.4175	440.1	Buffalo Narrows	ca		Buffalo Narrows	157
CYVV	YVV		-5.0	A	44.745834	-81.107222	222.2	Wiarton	ca		Wiarton	158
CYWA	YWA		-5.0	A	45.952221	-77.319168	130.1	Petawawa	ca		Petawawa	159
CYWG	YWG		-6.0	A	49.910036	-97.239886	238.7	Winnipeg Intl	ca		Winnipeg	160
CYWK	YWK		-4.0	A	52.921944	-66.864444	551.1	Wabush	ca		Wabush	161
CYWL	YWL		-8.0	A	52.183056	-122.054167	940.3	Williams Lake	ca		Williams Lake	162
CYWY	YWY		-7.0	A	63.209444	-123.436667	149.0	Wrigley	ca		Wrigley	163
CYXC	YXC		-7.0	A	49.612222	-115.781944	940.0	Canadian Rockies Intl	ca		Cranbrook	164
CYXD	YXD		-7.0	A	53.5725	-113.520556	670.6	Edmonton City Centre	ca		Edmonton	165
CYXE	YXE		-6.0	N	52.170834	-106.699722	503.8	Saskatoon J G Diefenbaker Intl	ca		Saskatoon	166
CYXH	YXH		-7.0	A	50.01889	-110.720833	716.9	Medicine Hat	ca		Medicine Hat	167
