		0O4			39.94376806	-122.1713781		Corning Municipal	us	CA	Corning	
		0O5			38.53146222	-121.7864906		University	us	CA	Davis	
		0Q5			40.02764333	-124.0733639		Shelter Cove	us	CA	Shelter Cove	
		0Q6			40.52210111	-121.8177683		Shingletown	us	CA	Shingletown	
		0R0			31.29700806	-89.81282944		Columbia-Marion County	us	MS	Columbia	
		0R1			31.01621528	-87.44675972		Atmore Municipal	us	AL	Atmore	
		0R3			29.97576083	-92.08415167		Abbeville Chris Crusta Memorial	us	LA	Abbeville	
		0R4			31.56683278	-91.50011889		Concordia Parish	us	LA	Vidalia	
		0R5			31.96366222	-92.66026056		David G Joyce	us	LA	Winnfield	
		0R7			31.99071694	-93.30739306		Red River	us	LA	Coushatta	
		0S7			48.958965	-119.4119622		Dorothy Scott	us	WA	Oroville	
		0S9			48.04981361	-122.8012792		Jefferson County Intl	us	WA	Port Townsend	
		0V2			38.53916389	-106.0458483		Harriet Alexander	us	CO	Salida	
		0V3			40.5149125	-98.94565083		Pioneer Village	us	NE	Minden	
		0V4			37.14172222	-79.01638889		Brookneal/Campbell County	us	VA	Brookneal	
		0V6			43.30694778	-100.6281936		Mission Sioux	us	SD	Mission	
		0V7			36.70972139	-110.2367978		Kayenta	us	AZ	Kayenta	
		10C			42.40266472	-88.37588917		Galt	us	IL	Chicago/Greenwood/Wonderlake	
		10D			44.94996278	-94.0669175		Winsted Municipal	us	MN	Winsted	
		10G			40.53716667	-81.95436111		Holmes County	us	OH	Millersburg	
		10N			41.62787111	-74.13375583		Wallkill	us	NY	Wallkill	
		10U			41.95323306	-116.1876014		Owyhee	us	NV	Owyhee	
		11A			31.88329917	-85.48491361		Clayton Municipal	us	AL	Clayton	
		11D			41.22581222	-79.44098972		Clarion Cty	us	PA	Clarion	
		11IS			42.04808278	-88.05257194		Schaumburg Heliport	us	IL	Chicago/Schaumburg	
		11J			31.39698611	-84.89525694		Early County	us	GA	Blakely	
		11R			30.219	-96.37427778		Brenham Municipal	us	TX	Brenham	
		12C			41.89300139	-89.07829		Rochelle Municipal	us	IL	Rochelle	
		12D			47.81833333	-92.29166667		Tower Municipal	us	MN	Tower	
		12J			31.05126306	-87.06796833		Brewton Municipal	us	AL	Brewton	
		12K			40.04636111	-98.06011111		Superior Municipal	us	NE	Superior	
		12Y			44.43746472	-93.91274083		Le Sueur Municipal	us	MN	Le Sueur	
		13C			43.45213722	-85.26480333		Lakeview	us	MI	Lakeview	
		13K			37.8515825	-96.29169806		Eureka Municipal	us	KS	Eureka	
		13N			40.96676444	-74.78016556		Trinca	us	NJ	Andover	
		14J			31.40988861	-86.08883583		Carl Folsom	us	AL	Elba	
		14M			33.18262167	-90.83065444		Hollandale Municipal	us	MS	Hollandale	
		14Y			45.89857556	-94.87391		Todd Field	us	MN	Long Prairie	
		15F			33.19155556	-99.71793056		Haskell Municipal	us	TX	Haskell	
		15J			31.13780556	-83.45308333		Cook County	us	GA	Adel	
		15M			34.7723125	-88.16587444		Luka	us	MS	Luka	
		15Z			61.43706083	-142.9037372		McCarthy 2	us	AK	McCarthy	
		16A			60.90582833	-162.4391158		Nunapitchuk	us	AK	Nunapitchuk	
		16G			41.09405556	-83.2125		Seneca County	us	OH	Tiffin	
		16J			31.74328472	-84.419285		Dawson Municipal	us	GA	Dawson	
		16S			42.99845056	-123.3095092		Myrtle Creek Municipal	us	OR	Myrtle Creek	
		17G			40.78141667	-82.97469444		Port Bucyrus-Crawford County	us	OH	Bucyrus	
		17J			31.00694444	-84.87761111		Donalsonville Municipal	us	GA	Donalsonville	
		17K			36.77430028	-102.5104364		Boise City	us	OK	Boise City	
		17M			31.86127139	-89.80285361		Magee Municipal	us	MS	Magee	
		17N			39.70547583	-75.03300306		Cross Keys	us	NJ	Cross Keys	
		17Z			58.98896583	-159.0499739		Manokotak	us	AK	Manokotak	
		18A			34.34010472	-83.13348333		Franklin County	us	GA	Canon	
		18I			36.69591306	-84.39160389		McCreary County	us	KY	Pine Knot	
