Jan	2582009	10411.33	1824419	7356.53
Feb	2409565	10661.79	1600464	7081.70
Mar	2645413	10666.99	1694060	6830.89
Apr	2537816	10574.23	1553365	6472.35
May	2673858	10781.69	1544836	6229.18
Jun	2629368	10955.70	1461902	6091.26
Jul	2788695	11244.74	1495354	6029.65
Aug	2813582	11345.09	1479771	5966.82
Sep	2740831	11420.13	1452281	6051.17
Oct	2694594	10865.30	1563801	6305.65
Nov	2532156	10550.65	1560398	6501.66
Dec	2631533	10611.02	1729926	6975.51
