AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
BIEG	EGS		Egilsstaðir Airport	Egilsstaðir, Iceland
BIFF	FAS		Fáskrúðsfjörður Airport	Fáskrúðsfjörður, Iceland
BIFM	FAG		Fagurhólsmýri Airport	Fagurhólsmýri, Iceland
BIGF	GUU		Grundarfjörður Airport	Grundarfjörður, Iceland
BIGJ	GJR		Gjögur Airport	Gjögur, Iceland
BIGR	GRY		Grímsey Airport	Grímsey, Iceland
BIHK	HVK		Hólmavík Airport	Hólmavík, Iceland
BIHN	HFN		Hornafjörður Airport	Höfn, Iceland
BIHU	HZK		Húsavík Airport	Húsavík, Iceland
BIHV	HVM		Krókstaðarmelar Airport (Krokstadarmelar)	Hvammstangi, Iceland
BIID	HLO		Ingjaldssanður Airport (Ingjaldssandur)	Onundarfjörður, Iceland
BIIS	IFJ		Ísafjörður Airport	Ísafjörður, Iceland
BIKF	KEF		Keflavík International Airport	Keflavík (near Reykjavík), Iceland
BIKR	SAK		Sauðárkrókur Airport	Sauðárkrókur, Iceland
BIPA	PFJ		Patreksfjörður Airport	Patreksfjörður, Iceland
BIRK	RKV		Reykjavík Airport	Reykjavík, Iceland
BIRL	MVA		Reykjahlid Airport (Reykjahlíð Airport)	Myvatn, Iceland
BISI	SIJ		Siglufjörður Airport	Siglufjörður, Iceland
BITN	THO		Thorshofn Airport	Þórshöfn, Iceland
BIVM	VEY		Vestmannaeyjar Airport	Vestmannaeyjar, Iceland
BIVO	VPN		Vopnafjörður Airport	Vopnafjörður, Iceland
BKPR	PRN		Pristina International Airport	Pristina, Kosovo
CWCI	YCI		Caribou Island Airport	Caribou Island, Ontario, Canada
CWJU	YLA		Langara Airport	Langara, British Columbia, Canada
CWMT	YLE		Wha Ti Airport (TC: CEM3)	Lac La Martre, Northwest Territories, Canada
CWPF	YPF		Esquimalt Airport	Esquimalt, British Columbia, Canada
CYAC	YAC		Cat Lake Airport	Cat Lake, Ontario, Canada
CYAG	YAG		Fort Frances Municipal Airport	Fort Frances, Ontario, Canada
CYAH	YAH		La Grande-4 Airport	Northern Quebec, Canada
CYAL	YAL		Alert Bay Airport	British Columbia, Canada
CYAM	YAM		Sault Ste. Marie Airport	Sault Ste. Marie, Ontario, Canada
CYAQ	XKS		Kasabonika Airport	Kasabonika First Nation, Ontario, Canada
CYAS	YKG		Kangirsuk Airport	Kangirsuk, Quebec, Canada
CYAT	YAT		Attawapiskat Airport	Attawapiskat, Ontario, Canada
CYAW	YAW		Shearwater Heliport	Shearwater, Nova Scotia, Canada
CYAY	YAY		St. Anthony Airport	St. Anthony, Newfoundland and Labrador, Canada
CYAZ	YAZ		Tofino Airport	Tofino, British Columbia, Canada
CYBA	YBA		Banff Airport	Banff, Alberta, Canada
CYBB	YBB		Kugaaruk Airport	Kugaaruk, Nunavut, Canada
CYBC	YBC		Baie-Comeau Airport	Baie-Comeau, Quebec, Canada
CYBD	QBC		Bella Coola Airport	Bella Coola, British Columbia, Canada
CYBE	YBE		Uranium City Airport	Uranium City, Saskatchewan, Canada
CYBF	YBY		Bonnyville Airport	Bonnyville, Alberta, Canada
CYBG	YBG		Bagotville Airport	Bagotville, Quebec, Canada
CYBH	YBH		Bull Harbour Airport	Bull Harbour, British Columbia, Canada
CYBK	YBK		Baker Lake Airport	Baker Lake, Nunavut, Canada
CYBL	YBL		Campbell River Airport	Campbell River, British Columbia, Canada
CYBN	YBN		CFB Borden (heliport)	Borden, Ontario, Canada
CYBQ	XTL		Tadoule Lake Airport	Tadoule Lake, Manitoba, Canada
CYBR	YBR		Brandon Municipal Airport (McGill Field)	Brandon, Manitoba, Canada
CYBT	YBT		Brochet Airport	Brochet, Manitoba, Canada
CYBV	YBV		Berens River Airport	Berens River, Manitoba, Canada
CYBX	YBX		Lourdes-de-Blanc-Sablon Airport	Lourdes-de-Blanc-Sablon, Quebec, Canada
CYCA	YRF		Cartwright Airport	Cartwright, Newfoundland and Labrador, Canada
CYCB	YCB		Cambridge Bay Airport	Cambridge Bay, Nunavut, Canada
CYCC	YCC		Cornwall Regional Airport	Cornwall, Ontario, Canada
CYCD	YCD		Nanaimo Airport	Nanaimo, British Columbia, Canada
CYCE	YCE		Centralia/James T. Field Memorial Aerodrome	Centralia, Ontario, Canada
CYCG	YCG		West Kootenay Regional Airport (Castlegar Airport)	Castlegar, British Columbia, Canada
CYCH	YCH		Miramichi Airport	Miramichi, New Brunswick, Canada
CYCL	YCL		Charlo Airport	Charlo, New Brunswick, Canada
CYCN	YCN		Cochrane Airport	Cochrane, Ontario, Canada
CYCO	YCO		Kugluktuk Airport	Kugluktuk, Nunavut, Canada
CYCP	YCP		Blue River Airport	Blue River (Co-op Point), British Columbia, Canada
CYCQ	YCQ		Chetwynd Airport	Chetwynd, British Columbia, Canada
CYCR	YCR		Cross Lake (Charlie Sinclair Memorial) Airport	Cross Lake, Manitoba, Canada
CYCS	YCS		Chesterfield Inlet Airport	Chesterfield Inlet, Nunavut, Canada
CYCT	YCT		Coronation Airport	Coronation, Alberta, Canada
CYCV	YCV		Cartierville Airport	Cartierville, Quebec, Canada
CYCW	YCW		Chilliwack Airport	Chilliwack, British Columbia, Canada
CYCX	YCX		CFB Gagetown (heliport)	Gagetown, New Brunswick, Canada
CYCY	YCY		Clyde River Airport	Clyde River, Nunavut, Canada
CYCZ	YCZ		Fairmont Hot Springs Airport	Fairmont Hot Springs, British Columbia, Canada
CYDA	YDA		Dawson City Airport	Dawson City, Yukon, Canada
CYDB	YDB		Burwash Airport	Burwash Landing, Yukon, Canada
CYDF	YDF		Deer Lake Regional Airport	Deer Lake, Newfoundland and Labrador, Canada
CYDK	YDK		Main Duck Island Airport	Main Duck Island, Ontario, Canada
CYDL	YDL		Dease Lake Airport	Dease Lake, British Columbia, Canada
CYDM	XRR		Ross River Airport	Ross River, Yukon, Canada
CYDN	YDN		Lt. Col W.G. (Billy) Barker VC Airport	Dauphin, Manitoba, Canada
CYDO	YDO		Dolbeau-Saint-Félicien Airport	Dolbeau-Mistassini, Quebec, Canada
CYDP	YDP		Nain Airport	Nain, Newfoundland and Labrador, Canada
CYDQ	YDQ		Dawson Creek Airport	Dawson Creek, British Columbia, Canada
CYDR	YDR		Broadview Airport	Broadview, Saskatchewan, Canada
CYED	YED		CFB Edmonton (Namao Field)	Edmonton, Alberta, Canada
CYEG	YEG		Edmonton International Airport	Edmonton, Alberta, Canada
CYEK	YEK		Arviat Airport	Arviat, Nunavut, Canada
CYEL	YEL		Elliot Lake Municipal Airport	Elliot Lake, Ontario, Canada
CYEM	YEM		Manitowaning/Manitoulin East Municipal Airport	Manitowaning, Ontario, Canada
CYEN	YEN		Estevan Airport	Estevan, Saskatchewan, Canada
CYEP	YEP		Estevan Point Airport	Estevan Point, British Columbia, Canada
CYER	YER		Fort Severn Airport	Fort Severn, Ontario, Canada
CYET	YET		Edson Airport	Edson, Alberta, Canada
