aem			I	Active	L	Arem		Arem
aen			I	Active	L	Armenian Sign Language		Armenian Sign Language
aeq			I	Active	L	Aer		Aer
aer			I	Active	L	Arrernte, Eastern	Arrernte, Eastern	Eastern Arrernte
aes			I	Active	E	Alsea		Alsea
aeu			I	Active	L	Akeu		Akeu
aew			I	Active	L	Ambakich		Ambakich
aex			I	Retired	L	Amerax		Amerax
aey			I	Active	L	Amele		Amele
aez			I	Active	L	Aeka		Aeka
afa		afa	C	Active	Genetic	Afro-Asiatic languages		Afro-Asiatic languages
afb			I	Active	L	Arabic, Gulf	Arabic, Gulf	Gulf Arabic
afd			I	Active	L	Andai		Andai
afe			I	Active	L	Putukwam		Putukwam
afg			I	Active	L	Afghan Sign Language		Afghan Sign Language
afh		afh	I	Active	C	Afrihili		Afrihili
afi			I	Active	L	Akrukay		Akrukay
afk			I	Active	L	Nanubae		Nanubae
afn			I	Active	L	Defaka		Defaka
afo			I	Active	L	Eloyi		Eloyi
afp			I	Active	L	Tapei		Tapei
afr	af	afr	I	Active	L	Afrikaans		Afrikaans
afs			I	Active	L	Creole, Afro-Seminole	Creole, Afro-Seminole	Afro-Seminole Creole
aft			I	Active	L	Afitti		Afitti
afu			I	Active	L	Awutu		Awutu
afz			I	Active	L	Obokuitai		Obokuitai
aga			I	Active	E	Aguano		Aguano
agb			I	Active	L	Legbo		Legbo
agc			I	Active	L	Agatu		Agatu
agd			I	Active	L	Agarabi		Agarabi
age			I	Active	L	Angal		Angal
agf			I	Active	L	Arguni		Arguni
agg			I	Active	L	Angor		Angor
agh			I	Active	L	Ngelima		Ngelima
agi			I	Active	L	Agariya		Agariya
agj			I	Active	L	Argobba		Argobba
agk			I	Active	L	Agta, Isarog	Agta, Isarog	Isarog Agta
agl			I	Active	L	Fembe		Fembe
agm			I	Active	L	Angaataha		Angaataha
agn			I	Active	L	Agutaynen		Agutaynen
ago			I	Active	L	Tainae		Tainae
agp			I	Retired	L	Paranan		Paranan
agq			I	Active	L	Aghem		Aghem
agr			I	Active	L	Aguaruna		Aguaruna
ags			I	Active	L	Esimbi		Esimbi
agt			I	Active	L	Agta, Central Cagayan	Agta, Central Cagayan	Central Cagayan Agta
agu			I	Active	L	Aguacateco		Aguacateco
agv			I	Active	L	Dumagat, Remontado	Dumagat, Remontado	Remontado Dumagat
agw			I	Active	L	Kahua		Kahua
agx			I	Active	L	Aghul		Aghul
agy			I	Active	L	Alta, Southern	Alta, Southern	Southern Alta
agz			I	Active	L	Agta, Mt. Iriga	Agta, Mt. Iriga	Mt. Iriga Agta
aha			I	Active	L	Ahanta		Ahanta
ahb			I	Active	L	Axamb		Axamb
ahe			I	Retired	L	Ahe		Ahe
ahg			I	Active	L	Qimant		Qimant
ahh			I	Active	L	Aghu		Aghu
ahi			I	Active	L	Aizi, Tiagbamrin	Aizi, Tiagbamrin	Tiagbamrin Aizi
ahk			I	Active	L	Akha		Akha
ahl			I	Active	L	Igo		Igo
ahm			I	Active	L	Aizi, Mobumrin	Aizi, Mobumrin	Mobumrin Aizi
ahn			I	Active	L	Àhàn		Àhàn
aho			I	Active	E	Ahom		Ahom
ahp			I	Active	L	Aizi, Aproumu	Aizi, Aproumu	Aproumu Aizi
ahr			I	Active	L	Ahirani		Ahirani
ahs			I	Active	L	Ashe		Ashe
aht			I	Active	L	Ahtena		Ahtena
aia			I	Active	L	Arosi		Arosi
aib			I	Active	L	Ainu (China)		Ainu (China)
aic			I	Active	L	Ainbai		Ainbai
aid			I	Active	E	Alngith		Alngith
aie			I	Active	L	Amara		Amara
aif			I	Active	L	Agi		Agi
aig			I	Active	L	Creole English, Antigua and Barbuda	Creole English, Antigua and Barbuda	Antigua and Barbuda Creole English
aih			I	Active	L	Ai-Cham		Ai-Cham
aii			I	Active	L	Neo-Aramaic, Assyrian	Neo-Aramaic, Assyrian	Assyrian Neo-Aramaic
aij			I	Active	L	Lishanid Noshan		Lishanid Noshan
aik			I	Active	L	Ake		Ake
ail			I	Active	L	Aimele		Aimele
aim			I	Active	L	Aimol		Aimol
ain		ain	I	Active	L	Ainu (Japan)		Ainu (Japan)
aio			I	Active	L	Aiton		Aiton
aip			I	Active	L	Burumakok		Burumakok
aiq			I	Active	L	Aimaq		Aimaq
air			I	Active	L	Airoran		Airoran
ais			I	Active	L	Amis, Nataoran	Amis, Nataoran	Nataoran Amis
ait			I	Active	E	Arikem		Arikem
aiw			I	Active	L	Aari		Aari
aix			I	Active	L	Aighon		Aighon
aiy			I	Active	L	Ali		Ali
aiz			I	Retired	L	Aari		Aari
aja			I	Active	L	Aja (Sudan)		Aja (Sudan)
ajg			I	Active	L	Aja (Benin)		Aja (Benin)
aji			I	Active	L	Ajië		Ajië
ajn			I	Active	L	Andajin		Andajin
ajp			I	Active	L	Arabic, South Levantine	Arabic, South Levantine	South Levantine Arabic
ajt			I	Active	L	Arabic, Judeo-Tunisian	Arabic, Judeo-Tunisian	Judeo-Tunisian Arabic
aju			I	Active	L	Arabic, Judeo-Moroccan	Arabic, Judeo-Moroccan	Judeo-Moroccan Arabic
ajw			I	Active	E	Ajawa		Ajawa
ajz			I	Active	L	Karbi, Amri	Karbi, Amri	Amri Karbi
aka	ak	aka	M	Active	L	Akan		Akan
akb			I	Active	L	Batak Angkola		Batak Angkola
akc			I	Active	L	Mpur		Mpur
akd			I	Active	L	Ukpet-Ehom		Ukpet-Ehom
ake			I	Active	L	Akawaio		Akawaio
akf			I	Active	L	Akpa		Akpa
akg			I	Active	L	Anakalangu		Anakalangu
akh			I	Active	L	Angal Heneng		Angal Heneng
aki			I	Active	L	Aiome		Aiome
akj			I	Active	E	Aka-Jeru		Aka-Jeru
akk		akk	I	Active	A	Akkadian		Akkadian
akl			I	Active	L	Aklanon		Aklanon
akm			I	Active	E	Aka-Bo		Aka-Bo
akn			I	Retired	L	Amikoana		Amikoana
ako			I	Active	L	Akurio		Akurio
akp			I	Active	L	Siwu		Siwu
akq			I	Active	L	Ak		Ak
akr			I	Active	L	Araki		Araki
aks			I	Active	L	Akaselem		Akaselem
akt			I	Active	L	Akolet		Akolet
aku			I	Active	L	Akum		Akum
akv			I	Active	L	Akhvakh		Akhvakh
akw			I	Active	L	Akwa		Akwa
akx			I	Active	E	Aka-Kede		Aka-Kede
aky			I	Active	E	Aka-Kol		Aka-Kol
akz			I	Active	L	Alabama		Alabama
ala			I	Active	L	Alago		Alago
alb	sq	alb	M	Active	L	Albanian		Albanian
alc			I	Active	L	Qawasqar		Qawasqar
ald			I	Active	L	Alladian		Alladian
ale		ale	I	Active	L	Aleut		Aleut
alf			I	Active	L	Alege		Alege
alg		alg	C	Active	Genetic	Algonquian languages		Algonquian languages
alh			I	Active	L	Alawa		Alawa
ali			I	Active	L	Amaimon		Amaimon
alj			I	Active	L	Alangan		Alangan
