Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
afd	A	SIL	afd					Andai	I	L	SIL
afe	A	SIL	afe					Putukwam	I	L	SIL
afg	A	SIL	afg					Afghan Sign Language	I	L	SIL
afh	A	JAC	afh	afh				Afrihili	I	C	
afi	A	SIL	afi					Akrukay	I	L	SIL
afk	A	SIL	afk					Nanubae	I	L	SIL
afn	A	SIL	afn					Defaka	I	L	SIL
afo	A	SIL	afo					Eloyi	I	L	SIL
afp	A	SIL	afp					Tapei	I	L	SIL
afr	A	JAC	afr	afr			af	Afrikaans	I	L	SIL
afs	A	SIL	afs					Afro-Seminole Creole	I	L	SIL
aft	A	SIL	aft					Afitti	I	L	SIL
afu	A	SIL	afu					Awutu	I	L	SIL
afz	A	SIL	afz					Obokuitai	I	L	SIL
aga	A	SIL	aga					Aguano	I	E	SIL
agb	A	SIL	agb					Legbo	I	L	SIL
agc	A	SIL	agc					Agatu	I	L	SIL
agd	A	SIL	agd					Agarabi	I	L	SIL
age	A	SIL	age					Angal	I	L	SIL
agf	A	SIL	agf					Arguni	I	L	SIL
agg	A	SIL	agg					Angor	I	L	SIL
agh	A	SIL	agh					Ngelima	I	L	SIL
agi	A	SIL	agi					Agariya	I	L	SIL
agj	A	SIL	agj					Argobba	I	L	SIL
agk	A	SIL	agk					Isarog Agta	I	L	SIL
agl	A	SIL	agl					Fembe	I	L	SIL
agm	A	SIL	agm					Angaataha	I	L	SIL
agn	A	SIL	agn					Agutaynen	I	L	SIL
ago	A	SIL	ago					Tainae	I	L	SIL
agp	R	SIL	agp					Paranan	I	L	
agq	A	SIL	agq					Aghem	I	L	SIL
agr	A	SIL	agr					Aguaruna	I	L	SIL
ags	A	SIL	ags					Esimbi	I	L	SIL
agt	A	SIL	agt					Central Cagayan Agta	I	L	SIL
agu	A	SIL	agu					Aguacateco	I	L	SIL
agv	A	SIL	agv					Remontado Dumagat	I	L	SIL
agw	A	SIL	agw					Kahua	I	L	SIL
agx	A	SIL	agx					Aghul	I	L	SIL
agy	A	SIL	agy					Southern Alta	I	L	SIL
agz	A	SIL	agz					Mt. Iriga Agta	I	L	SIL
aha	A	SIL	aha					Ahanta	I	L	SIL
ahb	A	SIL	ahb					Axamb	I	L	SIL
ahe	R	SIL	ahe					Ahe	I	L	
ahg	A	SIL	ahg					Qimant	I	L	SIL
ahh	A	SIL	ahh					Aghu	I	L	SIL
ahi	A	SIL	ahi					Tiagbamrin Aizi	I	L	SIL
ahk	A	SIL	ahk					Akha	I	L	SIL
ahl	A	SIL	ahl					Igo	I	L	SIL
ahm	A	SIL	ahm					Mobumrin Aizi	I	L	SIL
ahn	A	SIL	ahn					Àhàn	I	L	SIL
aho	A	SIL	aho					Ahom	I	E	SIL
ahp	A	SIL	ahp					Aproumu Aizi	I	L	SIL
ahr	A	SIL	ahr					Ahirani	I	L	SIL
ahs	A	SIL	ahs					Ashe	I	L	SIL
aht	A	SIL	aht					Ahtena	I	L	SIL
aia	A	SIL	aia					Arosi	I	L	SIL
aib	A	SIL	aib					Ainu (China)	I	L	SIL
aic	A	SIL	aic					Ainbai	I	L	SIL
aid	A	SIL	aid					Alngith	I	E	SIL
aie	A	SIL	aie					Amara	I	L	SIL
aif	A	SIL	aif					Agi	I	L	SIL
aig	A	SIL	aig					Antigua and Barbuda Creole English	I	L	SIL
aih	A	SIL	aih					Ai-Cham	I	L	SIL
aii	A	SIL	aii					Assyrian Neo-Aramaic	I	L	SIL
aij	A	SIL	aij					Lishanid Noshan	I	L	SIL
aik	A	SIL	aik					Ake	I	L	SIL
ail	A	SIL	ail					Aimele	I	L	SIL
aim	A	SIL	aim					Aimol	I	L	SIL
ain	A	JAC	ain	ain				Ainu (Japan)	I	L	SIL
aio	A	SIL	aio					Aiton	I	L	SIL
aip	A	SIL	aip					Burumakok	I	L	SIL
aiq	A	SIL	aiq					Aimaq	I	L	SIL
air	A	SIL	air					Airoran	I	L	SIL
ais	A	SIL	ais					Nataoran Amis	I	L	SIL
ait	A	SIL	ait					Arikem	I	E	SIL
aiw	A	SIL	aiw					Aari	I	L	SIL
aix	A	SIL	aix					Aighon	I	L	SIL
aiy	A	SIL	aiy					Ali	I	L	SIL
aiz	R	SIL	aiz					Aari	I	L	
aja	A	SIL	aja					Aja (Sudan)	I	L	SIL
ajg	A	SIL	ajg					Aja (Benin)	I	L	SIL
aji	A	SIL	aji					Ajië	I	L	SIL
ajn	A	SIL	ajn					Andajin	I	L	
ajp	A	SIL	ajp					South Levantine Arabic	I	L	SIL
ajt	A	SIL	ajt					Judeo-Tunisian Arabic	I	L	SIL
aju	A	SIL	aju					Judeo-Moroccan Arabic	I	L	SIL
ajw	A	SIL	ajw					Ajawa	I	E	SIL
ajz	A	SIL	ajz					Amri Karbi	I	L	SIL
