fips	state	City Name                                      	Type	CBSA Parent
f08524	54   	Bluefield, WV                              	Cit  	14140
f07330	05   	Blytheville, AR                            	Cit  	14180
f08150	22   	Bogalusa, LA                               	Cit  	14220
f08830	16   	Boise City, ID                             	Cit  	14260
f56260	16   	Nampa, ID                                  	Cit  	14260
f09328	48   	Bonham, TX                                 	Cit  	14300
f07480	19   	Boone, IA                                  	Cit  	14340
f07080	37   	Boone, NC                                  	Cit  	14380
f09556	48   	Borger, TX                                 	Cit  	14420
f07000	25   	Boston, MA                                 	Cit  	14460
f11000	25   	Cambridge, MA                              	Cit  	14460
f55745	25   	Quincy, MA                                 	Cit  	14460
f45560	25   	Newton, MA                                 	Cit  	14460
f24960	25   	Framingham, MA                             	Cit  	14460
f72600	25   	Waltham, MA                                	Cit  	14460
f52490	25   	Peabody, MA                                	Cit  	14460
f07850	08   	Boulder, CO                                	Cit  	14500
f08902	21   	Bowling Green, KY                          	Cit  	14540
f08950	30   	Bozeman, MT                                	Cit  	14580
f08040	42   	Bradford, PA                               	Cit  	14620
f07300	27   	Brainerd, MN                               	Cit  	14660
f07966	29   	Branson, MO                                	Cit  	14700
f07695	53   	Bremerton, WA                              	Cit  	14740
f64365	53   	Silverdale, WA                             	Cit  	14740
f10156	48   	Brenham, TX                                	Cit  	14780
f07720	37   	Brevard, NC                                	Cit  	14820
f08000	09   	Bridgeport, CT                             	Cit  	14860
f73000	09   	Stamford, CT                               	Cit  	14860
f55990	09   	Norwalk, CT                                	Cit  	14860
f18430	09   	Danbury, CT                                	Cit  	14860
f74260	09   	Stratford, CT                              	Cit  	14860
f08460	49   	Brigham City, UT                           	Cit  	14940
f08820	28   	Brookhaven, MS                             	Cit  	15020
f08650	41   	Brookings, OR                              	Cit  	15060
f07580	46   	Brookings, SD                              	Cit  	15100
f08920	47   	Brownsville, TN                            	Cit  	15140
f10768	48   	Brownsville, TX                            	Cit  	15180
f32372	48   	Harlingen, TX                              	Cit  	15180
f10780	48   	Brownwood, TX                              	Cit  	15220
f11560	13   	Brunswick, GA                              	Cit  	15260
f10030	39   	Bucyrus, OH                                	Cit  	15340
f11000	36   	Buffalo, NY                                	Cit  	15380
f15000	36   	Cheektowaga, NY                            	Cit  	15380
f74183	36   	Tonawanda, NY                              	Cit  	15380
f51055	36   	Niagara Falls, NY                          	Cit  	15380
f11260	16   	Burley, ID                                 	Cit  	15420
f09550	19   	Burlington, IA                             	Cit  	15460
f09060	37   	Burlington, NC                             	Cit  	15500
f10675	50   	Burlington, VT                             	Cit  	15540
f66175	50   	South Burlington, VT                       	Cit  	15540
f11397	30   	Butte-Silver Bow (balance), MT             	Cit  	15580
f12320	26   	Cadillac, MI                               	Cit  	15620
f12456	13   	Calhoun, GA                                	Cit  	15660
f12400	24   	Cambridge, MD                              	Cit  	15700
f10996	39   	Cambridge, OH                              	Cit  	15740
f10720	05   	Camden, AR                                 	Cit  	15780
f12160	21   	Campbellsville, KY                         	Cit  	15820
f11810	08   	Cañon City, CO                             	Cit  	15860
f11007	17   	Canton, IL                                 	Cit  	15900
f12000	39   	Canton, OH                                 	Cit  	15940
f48244	39   	Massillon, OH                              	Cit  	15940
f10275	12   	Cape Coral, FL                             	Cit  	15980
f24125	12   	Fort Myers, FL                             	Cit  	15980
f11242	29   	Cape Girardeau, MO                         	Cit  	16020
f35648	29   	Jackson, MO                                	Cit  	16020
f11163	17   	Carbondale, IL                             	Cit  	16060
f12150	35   	Carlsbad, NM                               	Cit  	16100
f05220	35   	Artesia, NM                                	Cit  	16100
f09700	32   	Carson City, NV                            	Cit  	16180
f13150	56   	Casper, WY                                 	Cit  	16220
f11320	49   	Cedar City, UT                             	Cit  	16260
f12000	19   	Cedar Rapids, IA                           	Cit  	16300
f14500	13   	Cedartown, GA                              	Cit  	16340
f12868	39   	Celina, OH                                 	Cit  	16380
f13978	21   	Central City, KY                           	Cit  	16420
f12164	17   	Centralia, IL                              	Cit  	16460
f11160	53   	Centralia, WA                              	Cit  	16500
f12536	42   	Chambersburg, PA                           	Cit  	16540
f12385	17   	Champaign, IL                              	Cit  	16580
f77005	17   	Urbana, IL                                 	Cit  	16580
f14600	54   	Charleston, WV                             	Cit  	16620
f12567	17   	Charleston, IL                             	Cit  	16660
f47553	17   	Mattoon, IL                                	Cit  	16660
f13330	45   	Charleston, SC                             	Cit  	16700
f50875	45   	North Charleston, SC                       	Cit  	16700
f70270	45   	Summerville, SC                            	Cit  	16700
f12000	37   	Charlotte, NC                              	Cit  	16740
f25580	37   	Gastonia, NC                               	Cit  	16740
f61405	45   	Rock Hill, SC                              	Cit  	16740
f14100	37   	Concord, NC                                	Cit  	16740
f14968	51   	Charlottesville, VA                        	Cit  	16820
f14000	47   	Chattanooga, TN                            	Cit  	16860
f14095	45   	Chester, SC                                	Cit  	16900
f13900	56   	Cheyenne, WY                               	Cit  	16940
f14000	17   	Chicago, IL                                	Cit  	16980
f38570	17   	Joliet, IL                                 	Cit  	16980
f51622	17   	Naperville, IL                             	Cit  	16980
f23074	17   	Elgin, IL                                  	Cit  	16980
f27000	18   	Gary, IN                                   	Cit  	16980
f24582	17   	Evanston, IL                               	Cit  	16980
f02154	17   	Arlington Heights, IL                      	Cit  	16980
f68003	17   	Schaumburg, IL                             	Cit  	16980
f70122	17   	Skokie, IL                                 	Cit  	16980
f19642	17   	Des Plaines, IL                            	Cit  	16980
f35411	17   	Hoffman Estates, IL                        	Cit  	16980
f13014	06   	Chico, CA                                  	Cit  	17020
f14184	39   	Chillicothe, OH                            	Cit  	17060
f15000	39   	Cincinnati, OH                             	Cit  	17140
f49840	39   	Middletown, OH                             	Cit  	17140
f12900	33   	Claremont, NH                              	Cit  	17200
f15628	54   	Clarksburg, WV                             	Cit  	17220
f13820	28   	Clarksdale, MS                             	Cit  	17260
f15160	47   	Clarksville, TN                            	Cit  	17300
f13945	06   	Clearlake, CA                              	Cit  	17340
f14260	28   	Cleveland, MS                              	Cit  	17380
f15400	47   	Cleveland, TN                              	Cit  	17420
f16000	39   	Cleveland, OH                              	Cit  	17460
f25256	39   	Elyria, OH                                 	Cit  	17460
f49056	39   	Mentor, OH                                 	Cit  	17460
f13000	12   	Clewiston, FL                              	Cit  	17500
f14430	19   	Clinton, IA                                	Cit  	17540
f16420	35   	Clovis, NM                                 	Cit  	17580
f18719	72   	Coamo, PR                                  	Cit  	17620
f16750	16   	Coeur d'Alene, ID                          	Cit  	17660
f14600	20   	Coffeyville, KS                            	Cit  	17700
f17020	26   	Coldwater, MI                              	Cit  	17740
f15976	48   	College Station, TX                        	Cit  	17780
f10912	48   	Bryan, TX                                  	Cit  	17780
f16000	08   	Colorado Springs, CO                       	Cit  	17820
f15670	29   	Columbia, MO                               	Cit  	17860
f16000	45   	Columbia, SC                               	Cit  	17900
f16540	47   	Columbia, TN                               	Cit  	17940
f19000	13   	Columbus, GA                               	Cit  	17980
f14734	18   	Columbus, IN                               	Cit  	18020
f15380	28   	Columbus, MS                               	Cit  	18060
f10110	31   	Columbus, NE                               	Cit  	18100
f18000	39   	Columbus, OH                               	Cit  	18140
f14200	33   	Concord, NH                                	Cit  	18180
f14932	18   	Connersville, IN                           	Cit  	18220
f16920	47   	Cookeville, TN                             	Cit  	18260
f15250	41   	Coos Bay, OR                               	Cit  	18300
f17362	21   	Corbin, KY                                 	Cit  	18340
f19616	13   	Cordele, GA                                	Cit  	18380
f15700	28   	Corinth, MS                                	Cit  	18420
f19728	13   	Cornelia, GA                               	Cit  	18460
f18256	36   	Corning, NY                                	Cit  	18500
f17000	48   	Corpus Christi, TX                         	Cit  	18580
f17060	48   	Corsicana, TX                              	Cit  	18620
