parkID	NAME	Year	Capacity	Surface	Area_Fair	Cover	LF_Dim	SLF_Dim	LFA_Dim	LC_Dim	LCC_Dim	CF_Dim	RCC_Dim	RC_Dim	RFA_Dim	SRF_Dim	RF_Dim	Backstop	Foul	LF_W	LC_W	CF_W	RC_W	RF_W	Comments
MIN03	Hubert H. Humphrey Metrodome	2009	46564	A		D	343		384	394		408		376	367		327	60	S	7	7	7	23	23	
NYC20	Citi Field	2009	41800	N		O	335	363	371	388	411	408	415	397		384	330	55	M	12	16	11	18	8	
NYC21	Yankee Stadium II	2009	50287	N		O	318	346		382	399	408	385	360	362		314	52	S	8	8	8	8	8	
OAK01	Oakland-Alameda County Coliseum 	2009	34007	N	108	O	330	367	362	388		400		388	362	367	330	60	L	8	15	8	15	8	
PHI13	Citizens Bank Park	2009	43500	N		O	329		361	385	409	401	398	381	357		330	50	M	10	11	6	13	13	
PHO01	Chase Field	2009	49033	N	113	R	328		376		412	407	414		376		335	55	S	8	8	25	8	8	
PIT08	PNC Park	2009	38496	N		O	325	362		389	410	399		375		350	320	51	S	6	10	10	10	21	
SAN02	PetCo Park	2009	42445	N		O	336	357	377	402		396		400	394	376	322	45	S	8	8	8	10	8	
SEA03	Safeco Field	2009	47447	N		R	331	357	373	388		405		385	357	340	326	55	M	8	8	8	8	8	
SFO03	AT&T Park	2009	41606	N		O	339		364	378	404	399	421		365		309	48	M	8	11	8	25	25	
STL10	Busch Stadium III	2009	46864	N		O	335	362	381	396		400		396	381	362	335	52	M	8	8	8	8	8	
STP01	Tropicana Field	2009	41315	A	105	D	315		360		410	404	404		360		322	50	S	11	11	9	11	11	
TOR02	Rogers Centre	2009	50598	A	108	R	328	355	375	390		400		390	375	355	328	60	M	10	10	10	10	10	
WAS11	Nationals Park	2009	41546	N		O	336	369		390		403		381		358	335	43	S	8	8	12	12	12	
ANA01	Angel Stadium of Anaheim	2008	45037	N	110	O	330	371	381	387		400		375	365	363	330	60	M	8	8	8	8	18	
ARL02	Ameriquest Field	2008	48911	N	113	O	332	354	390	397	404	400	407	388	381	349	326	60	S	14	8	8	8	8	
ATL02	Turner Field	2008	50091	N	115	O	335			380		401		390			330	60	L	8	8	8	8	8	
BAL12	Oriole Park at Camden Yards	2008	48290	N	106	O	333			364	410	400	386	373			318	57	M	7	7	7	7	25	
BOS07	Fenway Park	2008	36108	N	99	O	305			379	388	390	420	383	380		302	60	S	37	18	9	5	3	
CHI11	Wrigley Field	2008	41118	N	108	O	355	357		363		400		381		363	353	61	S	16	11	11	11	16	
CHI12	US Cellular Field	2008	40615	N	110	O	330	352		377		400		372		352	335	60	M	8	8	8	8	8	
CIN09	Great American Ballpark	2008	42271	N		O	328		379			404			370		325	51	S	12	12	8	8	8	
CLE08	Progressive Field	2008	43415	N	106	O	325			370	410	405		375			325	65	S	19	19	9	9	14	
DEN02	Coors Field	2008	50449	N	117	O	347			390	420	415	424	375		358	350	50	M	8	8	8	8	14	
DET05	Comerica Park	2008	41255	N		O	345		370	398		420		403	356		330	52	S	7	9	8	12	8	
HOU03	Minute Maid Park	2008	42180	N		R	315		362	390		435	436	397	373		326	49	S	21	25	9	9	7	
KAN06	Kauffman Stadium	2008	40785	N		O	330		385			410			385		330	50	S	8	8	8	8	8	
LBV01	The Ballpark at Disney's Wide World of Sports	2008	9500	N		O	335			385		400		385			335								
LOS03	Dodger Stadium	2008	56000	N	113	O	330		370	385		400		385	370		330	57	S	4	8	8	8	4	
MIA01	Dolphin Stadium	2008	36331	N	115	O	330		385		434	404		385			345	60	L	8	33	8	8	8	
MIL06	Miller Park	2008	41900	N		R	344	363	371	382		400		383	371	355	345	56	S	8	8	8	8	6	
MIN03	Hubert H. Humphrey Metrodome	2008	46564	A		D	343		384	394		408		376	367		327	60	S	7	7	7	23	23	
NYC16	Yankee Stadium	2008	57545	N	113	O	318			392	399	408		385		353	314	84	M	8	7	7	9	10	
NYC17	Shea Stadium	2008	57369	N	113	O	338			378		410		378			338	48	S	8	8	8	8	8	
OAK01	McAfee Coliseum	2008	34007	N	108	O	330	367	362	388		400		388	362	367	330	60	L	8	15	8	15	8	
PHI13	Citizens Bank Park	2008	43500	N		O	329		361	385	409	401	398	381	357		330	50	M	10	11	6	13	13	
PHO01	Chase Field	2008	49033	N	113	R	328		376		412	407	414		376		335	55	S	8	8	25	8	8	
PIT08	PNC Park	2008	38496	N		O	325	362		389	410	399		375		350	320	51	S	6	10	10	10	21	
SAN02	PetCo Park	2008	42445	N		O	336	357	377	402		396		400	394	376	322	45	S	8	8	8	10	8	
SEA03	Safeco Field	2008	47447	N		R	331	357	373	388		405		385	357	340	326	55	M	8	8	8	8	8	
SFO03	AT&T Park	2008	41606	N		O	339		364	378	404	399	421		365		309	48	M	8	11	8	25	25	
STL10	Busch Stadium III	2008	46864	N		O	335	362	381	396		400		396	381	362	335	52	M	8	8	8	8	8	
STP01	Tropicana Field	2008	41315	A	105	D	315		360		410	404	404		360		322	50	S	11	11	9	11	11	
TOK01	Tokyo Dome	2008	55000	A		D	318			360		400		360			318			13		13		13	
TOR02	Rogers Centre	2008	50598	A	108	R	328	355	375	390		400		390	375	355	328	60	M	10	10	10	10	10	
WAS11	Nationals Park	2008	41546	N		O	336	369		390		403		381		358	335	43	S	8	8	12	12	12	
ANA01	Angel Stadium of Anaheim	2007	45037	N	110	O	330	371	381	387		400		375	365	363	330	60	M	8	8	8	8	18	
ARL02	Ameriquest Field	2007	48911	N	113	O	332	354	390	397	404	400	407	388	381	349	326	60	S	14	8	8	8	8	
ATL02	Turner Field	2007	50091	N	115	O	335			380		401		390			330	60	L	8	8	8	8	8	
BAL12	Oriole Park at Camden Yards	2007	48290	N	106	O	333			364	410	400	386	373			318	57	M	7	7	7	7	25	
BOS07	Fenway Park	2007	36108	N	99	O	305			379	388	390	420	383	380		302	60	S	37	18	9	5	3	
CHI11	Wrigley Field	2007	41118	N	108	O	355	357		363		400		381		363	353	61	S	16	11	11	11	16	
CHI12	US Cellular Field	2007	40615	N	110	O	330	352		377		400		372		352	335	60	M	8	8	8	8	8	
CIN09	Great American Ballpark	2007	42271	N		O	328		379			404			370		325	51	S	12	12	8	8	8	
CLE08	Jacobs Field	2007	43415	N	106	O	325			370	410	405		375			325	65	S	19	19	9	9	14	
DEN02	Coors Field	2007	50449	N	117	O	347			390	420	415	424	375		358	350	50	M	8	8	8	8	14	
DET05	Comerica Park	2007	41255	N		O	345		370	398		420		403	356		330	52	S	7	9	8	12	8	
HOU03	Minute Maid Park	2007	42180	N		R	315		362	390		435	436	397	373		326	49	S	21	25	9	9	7	
KAN06	Kauffman Stadium	2007	40785	N		O	330		385			410			385		330	50	S	8	8	8	8	8	
LBV01	The Ballpark at Disney's Wide World of Sports	2007	9500	N		O	335			385		400		385			335								
LOS03	Dodger Stadium	2007	56000	N	113	O	330		370	385		400		385	370		330	57	S	4	8	8	8	4	
MIA01	Dolphin Stadium	2007	36331	N	115	O	330		385		434	404		385			345	60	L	8	33	8	8	8	
MIL06	Miller Park	2007	41900	N		R	344	363	371	382		400		383	371	355	345	56	S	8	8	8	8	6	
MIN03	Hubert H. Humphrey Metrodome	2007	46564	A		D	343		384	394		408		376	367		327	60	S	7	7	7	23	23	
NYC16	Yankee Stadium	2007	57545	N	113	O	318			392	399	408		385		353	314	84	M	8	7	7	9	10	
NYC17	Shea Stadium	2007	57369	N	113	O	338			378		410		378			338	48	S	8	8	8	8	8	
OAK01	McAfee Coliseum	2007	34007	N	108	O	330	367	362	388		400		388	362	367	330	60	L	8	15	8	15	8	
PHI13	Citizens Bank Park	2007	43500	N		O	329		361	385	409	401	398	381	357		330	50	M	10	11	6	13	13	
PHO01	Chase Field	2007	49033	N	113	R	328		376		412	407	414		376		335	55	S	8	8	25	8	8	
PIT08	PNC Park	2007	38496	N		O	325	362		389	410	399		375		350	320	51	S	6	10	10	10	21	
SAN02	PetCo Park	2007	42445	N		O	336	357	377	402		396		400	394	376	322	45	S	8	8	8	10	8	
SEA03	Safeco Field	2007	47447	N		R	331	357	373	388		405		385	357	340	326	55	M	8	8	8	8	8	
SFO03	AT&T Park	2007	41606	N		O	339		364	378	404	399	421		365		309	48	M	8	11	8	25	25	
STL10	Busch Stadium III	2007	46864	N		O	335	362	381	396		400		396	381	362	335	52	M	8	8	8	8	8	
STP01	Tropicana Field	2007	41315	A	105	D	315		360		410	404	404		360		322	50	S	11	11	9	11	11	
TOR02	Rogers Centre	2007	50598	A	108	R	328	355	375	390		400		390	375	355	328	60	M	10	10	10	10	10	
WAS10	Robert F. Kennedy Stadium	2007	46500	N		O	335			381		408		380			335	60	A	7		7		7	
ANA01	Angel Stadium of Anaheim	2006	45037	N	110	O	330	371	381	387		400		375	365	363	330	60	M	8	8	8	8	18	
ARL02	Ameriquest Field	2006	48911	N	113	O	332	354	390	397	404	400	407	388	381	349	326	60	S	14	8	8	8	8	
ATL02	Turner Field	2006	50091	N	115	O	335			380		401		390			330	60	L	8	8	8	8	8	
BAL12	Oriole Park at Camden Yards	2006	48290	N	106	O	333			364	410	400	386	373			318	57	M	7	7	7	7	25	
BOS07	Fenway Park	2006	36108	N	99	O	305			379	388	390	420	383	380		302	60	S	37	18	9	5	3	
CHI11	Wrigley Field	2006	41118	N	108	O	355	357		363		400		381		363	353	61	S	16	11	11	11	16	
CHI12	US Cellular Field	2006	40615	N	110	O	330	352		377		400		372		352	335	60	M	8	8	8	8	8	
CIN09	Great American Ballpark	2006	42271	N		O	328		379			404			370		325	51	S	12	12	8	8	8	
CLE08	Jacobs Field	2006	43415	N	106	O	325			370	410	405		375			325	65	S	19	19	9	9	14	
DEN02	Coors Field	2006	50449	N	117	O	347			390	420	415	424	375		358	350	50	M	8	8	8	8	14	
DET05	Comerica Park	2006	41255	N		O	345		370	398		420		403	356		330	52	S	7	9	8	12	8	
HOU03	Minute Maid Park	2006	42180	N		R	315		362	390		435	436	397	373		326	49	S	21	25	9	9	7	
KAN06	Kauffman Stadium	2006	40785	N		O	330		385			410			385		330	50	S	8	8	8	8	8	
LOS03	Dodger Stadium	2006	56000	N	113	O	330		370	385		400		385	370		330	57	S	4	8	8	8	4	
MIA01	Dolphin Stadium	2006	36331	N	115	O	330		385		434	404		385			345	60	L	8	33	8	8	8	
MIL06	Miller Park	2006	41900	N		R	344	363	371	382		400		383	371	355	345	56	S	8	8	8	8	6	
MIN03	Hubert H. Humphrey Metrodome	2006	46564	A		D	343		384	394		408		376	367		327	60	S	7	7	7	23	23	
