CIN09	Great American Ballpark	2003-03-31	2013-09-29	1	892	-84.51	39.1	Cincinnati	OH	US
CLE01	National Association Grounds	1871-05-11	1872-08-19	0	16	-81.65	41.48	Cleveland	OH	US
CLE02	League Park I	1879-05-01	1884-10-11	0	275	-81.65	41.5	Cleveland	OH	US
CLE03	League Park II	1887-05-04	1890-10-04	0	246	-81.66	41.5	Cleveland	OH	US
CLE04	Brotherhood Park	1890-04-30	1890-10-04	0	62	-81.65	41.48	Cleveland	OH	US
CLE05	League Park III	1891-05-01	1909-09-06	0	1220	-81.64	41.51	Cleveland	OH	US
CLE06	League Park IV	1910-04-21	1946-09-21	0	2376	-81.64	41.51	Cleveland	OH	US
CLE07	Cleveland Stadium	1932-07-31	1993-10-03	0	4196	-81.7	41.51	Cleveland	OH	US
CLE08	Progressive Field	1994-04-04	2013-09-25	1	1575	-81.69	41.5	Cleveland	OH	US
CLE09	Cedar Avenue Driving Park	1887-08-21	1887-08-21	0	1	-81.63	41.5	Cleveland	OH	US
CLL01	Euclid Beach Park	1898-06-12	1898-06-19	0	2	-81.57	41.58	Cleveland	OH	US
COL01	Recreation Park (Columbus) I	1883-05-01	1884-09-22	0	102	-82.98	39.96	Columbus	OH	US
COL02	Recreation Park (Columbus) II	1889-04-28	1891-09-22	0	202	-82.99	39.95	Columbus	OH	US
COL03	Neil Park I	1902-08-03	1903-05-17	0	2	-82.99	39.97	Columbus	OH	US
COL04	Neil Park II	1905-07-23	1905-07-24	0	2	-82.99	39.97	Columbus	OH	US
COV01	Star Baseball Park	1875-09-21	1875-09-21	0	1	-84.51	39.07	Covington	KY	US
DAY01	Fairview Park	1902-06-08	1902-06-08	0	1	-84.21	39.79	Dayton	OH	US
