MIL01	Milwaukee Base-Ball Grounds	1878-05-14	1878-09-14	0	25	-87.93	43.04	Milwaukee	WI	US
MIL02	Wright Street Grounds	1884-09-27	1885-09-25	0	14	-87.93	43.06	Milwaukee	WI	US
MIL03	Borchert Field	1891-09-10	1891-10-04	0	20	-87.92	43.07	Milwaukee	WI	US
MIL04	Lloyd Street Grounds	1901-05-03	1901-09-12	0	70	-87.93	43.06	Milwaukee	WI	US
MIL05	County Stadium	1953-04-14	2000-09-28	0	3484	-87.97	43.03	Milwaukee	WI	US
MIL06	Miller Park	2001-04-06	2013-09-22	1	1058	-87.97	43.03	Milwaukee	WI	US
MIN01	Athletic Park (Minneapolis)	1891-10-02	1891-10-02	0	1	-93.27	44.98	Minneapolis	MN	US
MIN02	Metropolitan Stadium	1961-04-21	1981-09-30	0	1674	-93.24	44.85	Minneapolis	MN	US
MIN03	Hubert H. Humphrey Metrodome	1982-04-06	2009-10-06	0	2242	-93.26	44.97	Minneapolis	MN	US
MIN04	Target Field	2010-04-12	2013-09-29	1	324	-93.28	44.98	Minneapolis	MN	US
MNT01	Estadio Monterrey	1996-08-16	1999-04-04	0	4	-100.32	25.72	Monterrey	NL	MX
MON01	Parc Jarry	1969-04-14	1976-09-26	0	641	-73.63	45.53	Montreal	QC	CA
MON02	Stade Olympique	1977-04-15	2004-09-29	0	2145	-73.55	45.56	Montreal	QC	CA
NEW01	Howard Avenue Grounds	1875-04-26	1877-09-22	0	27	-72.93	41.29	New Haven	CT	US
NEW02	Hamilton Park	1875-04-21	1875-04-21	0	1	-72.95	41.32	New Haven	CT	US
NEW03	Beyerle's Park	1888-09-02	1888-09-02	0	1	-81.66	41.46	Newburgh Township	OH	US
NWK01	Wiedenmeyer's Park	1904-07-17	1904-07-17	0	1	-74.15	40.72	Newark	NJ	US
