Acadia                     	1b1404	 27  20   4
Seaweed                    	1b2f11	 27  47  17
Biscay                     	1b3162	 27  49  98
Matisse                    	1b659d	 27 101 157
Crowshead                  	1c1208	 28  18   8
Rangoon Green              	1c1e13	 28  30  19
Persian Blue               	1c39bb	 28  57 187
Everglade                  	1c402e	 28  64  46
Elm                        	1c7c7d	 28 124 125
Green Pea                  	1d6142	 29  97  66
Creole                     	1e0f04	 30  15   4
Karaka                     	1e1609	 30  22   9
El Paso                    	1e1708	 30  23   8
Cello                      	1e385b	 30  56  91
Te Papa Green              	1e433c	 30  67  60
Dodger Blue                	1e90ff	 30 144 255
Eastern Blue               	1e9ab0	 30 154 176
Night Rider                	1f120f	 31  18  15
Java                       	1fc2c2	 31 194 194
Jacksons Purple            	20208d	 32  32 141
Cloud Burst                	202e54	 32  46  84
Blue Dianne                	204852	 32  72  82
Eternity                   	211a0e	 33  26  14
Deep Blue                  	220878	 34   8 120
Forest Green               	228b22	 34 139  34
Mallard                    	233418	 35  52  24
Violet                     	240a40	 36  10  64
Kilamanjaro                	240c02	 36  12   2
Log Cabin                  	242a1d	 36  42  29
Black Olive                	242e16	 36  46  22
Green House                	24500f	 36  80  15
Graphite                   	251607	 37  22   7
Cannon Black               	251706	 37  23   6
Port Gore                  	251f4f	 37  31  79
Shark                      	25272c	 37  39  44
Green Kelp                 	25311c	 37  49  28
Curious Blue               	2596d1	 37 150 209
Paua                       	260368	 38   3 104
Paris M                    	26056a	 38   5 106
Wood Bark                  	261105	 38  17   5
Gondola                    	261414	 38  20  20
Steel Gray                 	262335	 38  35  53
Ebony Clay                 	26283b	 38  40  59
Bay of Many                	273a81	 39  58 129
Plantation                 	27504b	 39  80  75
Eucalyptus                 	278a5b	 39 138  91
Oil                        	281e15	 40  30  21
Astronaut                  	283a77	 40  58 119
Mariner                    	286acd	 40 106 205
Violent Violet             	290c5e	 41  12  94
Bastille                   	292130	 41  33  48
Zeus                       	292319	 41  35  25
Charade                    	292937	 41  41  55
Jelly Bean                 	297b9a	 41 123 154
Jungle Green               	29ab87	 41 171 135
Cherry Pie                 	2a0359	 42   3  89
Coffee Bean                	2a140e	 42  20  14
Baltic Sea                 	2a2630	 42  38  48
Turtle Green               	2a380b	 42  56  11
Cerulean Blue              	2a52be	 42  82 190
Sepia Black                	2b0202	 43   2   2
Valhalla                   	2b194f	 43  25  79
Heavy Metal                	2b3228	 43  50  40
Blue Gem                   	2c0e8c	 44  14 140
Revolver                   	2c1632	 44  22  50
Bleached Cedar             	2c2133	 44  33  51
Lochinvar                  	2c8c84	 44 140 132
Mikado                     	2d2510	 45  37  16
Outer Space                	2d383a	 45  56  58
St Tropaz                  	2d569b	 45  86 155
Jacaranda                  	2e0329	 46   3  41
Jacko Bean                 	2e1905	 46  25   5
Rangitoto                  	2e3222	 46  50  34
Rhino                      	2e3f62	 46  63  98
Sea Green                  	2e8b57	 46 139  87
Scooter                    	2ebfd4	 46 191 212
Onion                      	2f270e	 47  39  14
Governor Bay               	2f3cb3	 47  60 179
Sapphire                   	2f519e	 47  81 158
Spectra                    	2f5a57	 47  90  87
Casal                      	2f6168	 47  97 104
Melanzane                  	300529	 48   5  41
Cocoa Brown                	301f1e	 48  31  30
Woodrush                   	302a0f	 48  42  15
San Juan                   	304b6a	 48  75 106
Turquoise                  	30d5c8	 48 213 200
Eclipse                    	311c17	 49  28  23
Pickled Bluewood           	314459	 49  68  89
Azure                      	315ba1	 49  91 161
Calypso                    	31728d	 49 114 141
Paradiso                   	317d82	 49 125 130
Persian Indigo             	32127a	 50  18 122
Blackcurrant               	32293a	 50  41  58
Mine Shaft                 	323232	 50  50  50
Stromboli                  	325d52	 50  93  82
Bilbao                     	327c14	 50 124  20
Astral                     	327da0	 50 125 160
Christalle                 	33036b	 51   3 107
Thunder                    	33292f	 51  41  47
Shamrock                   	33cc99	 51 204 153
Tamarind                   	341515	 52  21  21
Mardi Gras                 	350036	 53   0  54
Valentino                  	350e42	 53  14  66
Jagger                     	350e57	 53  14  87
Tuna                       	353542	 53  53  66
Chambray                   	354e8c	 53  78 140
Martinique                 	363050	 54  48  80
Tuatara                    	363534	 54  53  52
Waiouru                    	363c0d	 54  60  13
Ming                       	36747d	 54 116 125
La Palma                   	368716	 54 135  22
Chocolate                  	370202	 55   2   2
Clinker                    	371d09	 55  29   9
Brown Tumbleweed           	37290e	 55  41  14
Birch                      	373021	 55  48  33
Oracle                     	377475	 55 116 117
Blue Diamond               	380474	 56   4 116
Grape                      	381a51	 56  26  81
Dune                       	383533	 56  53  51
Oxford Blue                	384555	 56  69  85
Clover                     	384910	 56  73  16
Limed Spruce               	394851	 57  72  81
Dell                       	396413	 57 100  19
Toledo                     	3a0020	 58   0  32
Sambuca                    	3a2010	 58  32  16
Jacarta                    	3a2a6a	 58  42 106
William                    	3a686c	 58 104 108
Killarney                  	3a6a47	 58 106  71
Keppel                     	3ab09e	 58 176 158
Temptress                  	3b000b	 59   0  11
Aubergine                  	3b0910	 59   9  16
Jon                        	3b1f1f	 59  31  31
Treehouse                  	3b2820	 59  40  32
Amazon                     	3b7a57	 59 122  87
Boston Blue                	3b91b4	 59 145 180
Windsor                    	3c0878	 60   8 120
Rebel                      	3c1206	 60  18   6
Meteorite                  	3c1f76	 60  31 118
Dark Ebony                 	3c2005	 60  32   5
Camouflage                 	3c3910	 60  57  16
Bright Gray                	3c4151	 60  65  81
Cape Cod                   	3c4443	 60  68  67
Lunar Green                	3c493a	 60  73  58
Bean                       	3d0c02	 61  12   2
Bistre                     	3d2b1f	 61  43  31
Goblin                     	3d7d52	 61 125  82
Kingfisher Daisy           	3e0480	 62   4 128
Cedar                      	3e1c14	 62  28  20
English Walnut             	3e2b23	 62  43  35
Black Marlin               	3e2c1c	 62  44  28
Ship Gray                  	3e3a44	 62  58  68
Pelorous                   	3eabbf	 62 171 191
Bronze                     	3f2109	 63  33   9
Cola                       	3f2500	 63  37   0
Madras                     	3f3002	 63  48   2
Minsk                      	3f307f	 63  48 127
Cabbage Pont               	3f4c3a	 63  76  58
Tom Thumb                  	3f583b	 63  88  59
Mineral Green              	3f5d53	 63  93  83
Puerto Rico                	3fc1aa	 63 193 170
Harlequin                  	3fff00	 63 255   0
Brown Pod                  	401801	 64  24   1
Cork                       	40291d	 64  41  29
Masala                     	403b38	 64  59  56
Thatch Green               	403d19	 64  61  25
Fiord                      	405169	 64  81 105
Viridian                   	40826d	 64 130 109
Chateau Green              	40a860	 64 168  96
Ripe Plum                  	410056	 65   0  86
Paco                       	411f10	 65  31  16
Deep Oak                   	412010	 65  32  16
Merlin                     	413c37	 65  60  55
Gun Powder                 	414257	 65  66  87
East Bay                   	414c7d	 65  76 125
Royal Blue                 	4169e1	 65 105 225
Ocean Green                	41aa78	 65 170 120
Burnt Maroon               	420303	 66   3   3
Lisbon Brown               	423921	 66  57  33
Faded Jade                 	427977	 66 121 119
Scarlet Gum                	431560	 67  21  96
Iroko                      	433120	 67  49  32
Armadillo                  	433e37	 67  62  55
River Bed                  	434c59	 67  76  89
Green Leaf                 	436a0d	 67 106  13
Barossa                    	44012d	 68   1  45
Morocco Brown              	441d00	 68  29   0
Mako                       	444954	 68  73  84
Kelp                       	454936	 69  73  54
San Marino                 	456cac	 69 108 172
Picton Blue                	45b1e8	 69 177 232
Loulou                     	460b41	 70  11  65
Crater Brown               	462425	 70  36  37
Gray Asparagus             	465945	 70  89  69
Steel Blue                 	4682b4	 70 130 180
Rustic Red                 	480404	 72   4   4
Bulgarian Rose             	480607	 72   6   7
Clairvoyant                	480656	 72   6  86
Cocoa Bean                 	481c1c	 72  28  28
Woody Brown                	483131	 72  49  49
Taupe                      	483c32	 72  60  50
Van Cleef                  	49170c	 73  23  12
Brown Derby                	492615	 73  38  21
Metallic Bronze            	49371b	 73  55  27
Verdun Green               	495400	 73  84   0
Blue Bayoux                	496679	 73 102 121
Bismark                    	497183	 73 113 131
Bracken                    	4a2a04	 74  42   4
Deep Bronze                	4a3004	 74  48   4
Mondo                      	4a3c30	 74  60  48
Tundora                    	4a4244	 74  66  68
Gravel                     	4a444b	 74  68  75
Trout                      	4a4e5a	 74  78  90
Pigment Indigo             	4b0082	 75   0 130
Nandor                     	4b5d52	 75  93  82
Saddle                     	4c3024	 76  48  36
Abbey                      	4c4f56	 76  79  86
Blackberry                 	4d0135	 77   1  53
