Name                                                     	Type	   id	Parent	Children
Fort Wayne-Huntington-Auburn, IN                             	CSA	  258		11420: Angola, IN µSA | 12140: Auburn, IN µSA | 19540: Decatur, IN µSA | 23060: Fort Wayne, IN MSA | 26540: Huntington, IN µSA | 28340: Kendallville, IN µSA
Fresno-Madera, CA                                            	CSA	  260		23420: Fresno, CA MSA | 31460: Madera-Chowchilla, CA MSA
Grand Rapids-Muskegon-Holland, MI                            	CSA	  266		10880: Allegan, MI µSA | 24340: Grand Rapids-Wyoming, MI MSA | 26100: Holland-Grand Haven, MI MSA | 34740: Muskegon-Norton Shores, MI MSA
Greensboro-Winston+Salem-High Point, NC                    	CSA	  268		15500: Burlington, NC MSA | 24660: Greensboro-High Point, NC MSA | 34340: Mount Airy, NC µSA | 45640: Thomasville-Lexington, NC µSA | 49180: Winston-Salem, NC MSA
Greenville-Spartanburg-Anderson, SC                          	CSA	  273		11340: Anderson, SC MSA | 23500: Gaffney, SC µSA | 24860: Greenville-Mauldin-Easley, SC MSA | 42860: Seneca, SC µSA | 43900: Spartanburg, SC MSA | 46420: Union, SC µSA
Gulfport-Biloxi-Pascagoula, MS                               	CSA	  274		25060: Gulfport-Biloxi, MS MSA | 37700: Pascagoula, MS MSA
Harrisburg-Carlisle-Lebanon, PA                              	CSA	  276		25420: Harrisburg-Carlisle, PA MSA | 30140: Lebanon, PA MSA
Hartford-West Hartford-Willimantic, CT                       	CSA	  278		25540: Hartford-West Hartford-East Hartford, CT MSA | 48740: Willimantic, CT µSA
Houston-Baytown-Huntsville, TX                               	CSA	  288		13060: Bay City, TX µSA | 26420: Houston-Sugar Land-Baytown, TX MSA | 26660: Huntsville, TX µSA
Huntsville-Decatur, AL                                       	CSA	  290		19460: Decatur, AL MSA | 26620: Huntsville, AL MSA
Idaho Falls-Blackfoot, ID                                    	CSA	  292		13940: Blackfoot, ID µSA | 26820: Idaho Falls, ID MSA
Indianapolis-Anderson-Columbus, IN                           	CSA	  294		11300: Anderson, IN MSA | 18020: Columbus, IN MSA | 18820: Crawfordsville, IN µSA | 26900: Indianapolis-Carmel, IN MSA | 35220: New Castle, IN µSA | 35860: North Vernon, IN µSA
Ithaca-Cortland, NY                                          	CSA	  296		18660: Cortland, NY µSA | 27060: Ithaca, NY MSA
Jackson-Humboldt, TN                                         	CSA	  297		26480: Humboldt, TN µSA | 27180: Jackson, TN MSA
Jackson-Yazoo City, MS                                       	CSA	  298		27140: Jackson, MS MSA | 49540: Yazoo City, MS µSA
