49	Birmingham-Hoover, AL	MSA	1140300	1128047	1.09	Birmingham-Hoover-Talladega, AL CSA
50	Buffalo-Cheektowaga-Niagara Falls, NY	MSA	1134155	1135509	-0.12	Buffalo-Cheektowaga, NY CSA
51	Rochester, NY	MSA	1083278	1079671	0.33	Rochester-Batavia-Seneca Falls, NY CSA
52	Grand Rapids-Wyoming, MI	MSA	1016603	988938	2.80	Grand Rapids-Wyoming-Muskegon, MI CSA
53	Tucson, AZ	MSA	996544	980263	1.66	Tucson-Nogales, AZ CSA
54	Urban Honolulu, HI	MSA	983429	953207	3.17	
55	Tulsa, OK	MSA	961561	937478	2.57	Tulsa-Muskogee-Bartlesville, OK CSA
56	Fresno, CA	MSA	955272	930450	2.67	Fresno-Madera, CA CSA
57	Bridgeport-Stamford-Norwalk, CT	MSA	939904	916829	2.52	New York-Newark, NY-NJ-CT-PA CSA
58	Worcester, MA-CT	MSA	926710	916980	1.06	Boston-Worcester-Providence, MA-RI-NH-CT CSA
59	Albuquerque, NM	MSA	902797	887077	1.77	Albuquerque-Santa Fe-Las Vegas, NM CSA
60	Omaha-Council Bluffs, NE-IA	MSA	895151	865350	3.44	Omaha-Council Bluffs-Fremont, NE-IA CSA
61	Albany-Schenectady-Troy, NY	MSA	877905	870716	0.83	Albany-Schenectady, NY CSA
62	Bakersfield, CA	MSA	864124	839631	2.92	
63	New Haven-Milford, CT	MSA	862287	862477	-0.02	New York-Newark, NY-NJ-CT-PA CSA
64	Knoxville, TN	MSA	852715	837571	1.81	Knoxville-Morristown-Sevierville, TN CSA
65	Greenville-Anderson-Mauldin, SC	MSA	850965	824112	3.26	Greenville-Spartanburg-Anderson, SC CSA
66	Oxnard-Thousand Oaks-Ventura, CA	MSA	839620	823318	1.98	Los Angeles-Long Beach, CA CSA
67	El Paso, TX	MSA	831036	804123	3.35	El Paso-Las Cruces, TX-NM CSA
68	Allentown-Bethlehem-Easton, PA-NJ	MSA	827048	821173	0.72	New York-Newark, NY-NJ-CT-PA CSA
69	Baton Rouge, LA	MSA	820159	802484	2.20	
70	McAllen-Edinburg-Mission, TX	MSA	815996	774769	5.32	McAllen-Edinburg, TX CSA
71	Dayton, OH	MSA	802489	799232	0.41	Dayton-Springfield-Sidney, OH CSA
72	Columbia, SC	MSA	793779	767598	3.41	Columbia-Orangeburg-Newberry, SC CSA
73	Greensboro-High Point, NC	MSA	741065	723801	2.39	Greensboro-Winston-Salem-High Point, NC CSA
74	North Port-Sarasota-Bradenton, FL	MSA	732535	702281	4.31	North Port-Sarasota, FL CSA
75	Little Rock-North Little Rock-Conway, AR	MSA	724385	699757	3.52	Little Rock-North Little Rock, AR CSA
76	Charleston-North Charleston, SC	MSA	712220	664607	7.16	
77	Akron, OH	MSA	705686	703200	0.35	Cleveland-Akron-Canton, OH CSA
78	Stockton-Lodi, CA	MSA	704379	685306	2.78	San Jose-San Francisco-Oakland, CA CSA
79	Colorado Springs, CO	MSA	678319	645613	5.07	
80	Syracuse, NY	MSA	661934	662577	-0.10	Syracuse-Auburn, NY CSA
81	Cape Coral-Fort Myers, FL	MSA	661115	618754	6.85	Cape Coral-Fort Myers-Naples, FL CSA
82	Winston-Salem, NC	MSA	650820	640595	1.60	Greensboro-Winston-Salem-High Point, NC CSA
