Rank	Name                                                    	Population	Area km^2	pop/km^2
 218	Ponce, PR                                               	    149539	   114.3	  1308.6
 219	New Bedford, MA                                         	    149443	   142.7	  1047.2
 220	Sebastian--Vero Beach South--Florida Ridge, FL          	    149422	   250.3	   596.9
 221	Spring Hill, FL                                         	    148220	   297.8	   497.7
 222	Beaumont, TX                                            	    147922	   237.5	   622.9
 223	Lafayette, IN                                           	    147725	   166.0	   889.7
 224	Champaign, IL                                           	    145361	   121.5	  1196.7
 225	Marysville, WA                                          	    145140	   211.9	   685.0
 226	Houma, LA                                               	    144875	   236.8	   611.8
 227	Elkhart, IN--MI                                         	    143592	   237.9	   603.5
 228	Lake Charles, LA                                        	    143440	   327.7	   437.7
 229	Panama City, FL                                         	    143280	   238.0	   601.9
 230	Frederick, MD                                           	    141576	   190.1	   744.8
 231	Fredericksburg, VA                                      	    141238	   201.5	   700.8
 232	Arecibo, PR                                             	    139171	   217.7	   639.2
 233	Tuscaloosa, AL                                          	    139114	   231.8	   600.0
 234	Macon, GA                                               	    137570	   253.9	   541.9
 235	Merced, CA                                              	    136969	   123.1	  1112.6
 236	Pueblo, CO                                              	    136550	   192.2	   710.4
 237	Harlingen, TX                                           	    135663	   214.3	   633.0
 238	Yuma, AZ--CA                                            	    135267	   152.3	   888.0
 239	Racine, WI                                              	    133700	   128.0	  1044.8
 240	Fairfield, CA                                           	    133683	   102.2	  1307.9
 241	Murfreesboro, TN                                        	    133228	   200.3	   665.1
 242	Warner Robins, GA                                       	    133109	   260.6	   510.8
 243	Bloomington--Normal, IL                                 	    132600	   127.4	  1040.7
 244	Leesburg--Eustis--Tavares, FL                           	    131337	   244.6	   537.0
 245	Gainesville, GA                                         	    130846	   327.0	   400.1
 246	Santa Maria, CA                                         	    130447	    75.4	  1729.2
 247	Tyler, TX                                               	    130247	   233.7	   557.3
 248	Yakima, WA                                              	    129534	   155.0	   835.9
 249	Athens-Clarke County, GA                                	    128754	   254.8	   505.2
 250	Las Cruces, NM                                          	    128600	   167.6	   767.4
 251	Grand Junction, CO                                      	    128124	   204.1	   627.8
 252	Odessa, TX                                              	    126405	   152.6	   828.1
 253	Saginaw, MI                                             	    126265	   184.4	   684.6
 254	Simi Valley, CA                                         	    125206	    81.4	  1538.0
 255	Columbia, MO                                            	    124748	   160.1	   779.3
 256	Kenosha, WI--IL                                         	    124064	   132.6	   935.4
 257	Fort Smith, AR--OK                                      	    122947	   183.3	   670.8
 258	Mauldin--Simpsonville, SC                               	    120577	   216.4	   557.1
 259	Johnson City, TN                                        	    120415	   284.7	   423.0
 260	Duluth, MN--WI                                          	    120378	   182.5	   659.5
 261	Burlington, NC                                          	    119911	   234.2	   512.0
 262	South Lyon--Howell, MI                                  	    119509	   266.2	   448.9
 263	San German--Cabo Rojo--Sabana Grande, PR                	    118199	   247.3	   478.0
 264	Greeley, CO                                             	    117825	   106.8	  1103.3
 265	Midland, TX                                             	    117807	   137.0	   860.2
 266	Greenville, NC                                          	    117798	   168.9	   697.6
 267	Redding, CA                                             	    117731	   184.0	   639.7
 268	Utica, NY                                               	    117328	   161.6	   726.1
 269	Leominster--Fitchburg, MA                               	    116960	   168.4	   694.3
 270	Yuba City, CA                                           	    116719	   100.1	  1165.7
 271	Lynchburg, VA                                           	    116636	   230.0	   507.1
 272	Monroe, LA                                              	    116533	   212.2	   549.1
 273	Billings, MT                                            	    114773	   137.2	   836.7
 274	Boulder, CO                                             	    114591	    84.1	  1361.9
 275	Bellingham, WA                                          	    114473	   124.6	   918.5
 276	Seaside--Monterey, CA                                   	    114237	   100.2	  1139.9
 277	Kailua (Honolulu County)--Kaneohe, HI                   	    113682	   101.1	  1124.4
 278	Waterloo, IA                                            	    113418	   161.2	   703.7
 279	Lady Lake--The Villages, FL                             	    112991	   184.1	   613.9
 280	Dover, DE                                               	    110769	   191.7	   577.7
 281	St. Cloud, MN                                           	    110621	   130.1	   850.1
 282	Abilene, TX                                             	    110421	   141.8	   779.0
 283	Waldorf, MD                                             	    109919	   176.1	   624.4
 284	Mayagüez, PR                                            	    109572	   139.2	   787.3
 285	Burlington, VT                                          	    108740	   159.9	   679.8
 286	Bloomington, IN                                         	    108657	   116.0	   936.5
 287	Pottstown, PA                                           	    107682	   204.2	   527.4
 288	Rochester, MN                                           	    107677	   131.0	   821.9
 289	El Centro--Calexico, CA                                 	    107672	    77.7	  1386.0
 290	Iowa City, IA                                           	    106621	   118.0	   903.2
 291	Kingsport, TN--VA                                       	    106571	   294.1	   362.3
 292	Sioux City, IA--NE--SD                                  	    106494	   140.8	   756.2
 293	Texas City, TX                                          	    106383	   196.9	   540.4
 294	Jacksonville, NC                                        	    105419	   184.8	   570.6
 295	Rock Hill, SC                                           	    104996	   247.7	   424.0
 296	Norman, OK                                              	    103898	   116.2	   893.9
 297	Eau Claire, WI                                          	    102852	   178.7	   575.5
 298	La Crosse, WI--MN                                       	    100868	   132.1	   763.8
 299	Holland, MI                                             	     99941	   153.4	   651.3
 300	Turlock, CA                                             	     99904	    66.8	  1495.7
 301	Wichita Falls, TX                                       	     99437	   130.4	   762.3
 302	Longview, TX                                            	     98884	   215.1	   459.8
 303	Gilroy--Morgan Hill, CA                                 	     98413	   117.7	   836.2
 304	Coeur d'Alene, ID                                       	     98378	   122.3	   804.1
 305	St. George, UT                                          	     98370	   116.3	   846.0
 306	Chico, CA                                               	     98176	    89.1	  1101.6
 307	Salisbury, MD--DE                                       	     98081	   183.1	   535.6
 308	Middletown, OH                                          	     97503	   145.3	   671.1
 309	Albany, GA                                              	     95779	   183.5	   522.0
 310	Vineland, NJ                                            	     95259	   160.3	   594.2
 311	Logan, UT                                               	     94983	   113.8	   834.8
 312	Lawton, OK                                              	     94457	   114.2	   827.5
 313	Decatur, IL                                             	     93863	   153.3	   612.2
 314	Vacaville, CA                                           	     93141	    71.0	  1312.0
 315	San Angelo, TX                                          	     92984	   120.9	   769.2
 316	Terre Haute, IN                                         	     92742	   138.4	   669.9
 317	Charlottesville, VA                                     	     92359	    89.5	  1031.9
 318	Slidell, LA                                             	     91151	   151.8	   600.5
 319	Yauco, PR                                               	     90899	   120.6	   753.9
 320	Longmont, CO                                            	     90897	    67.9	  1338.1
 321	Idaho Falls, ID                                         	     90733	   115.3	   787.1
 322	Muncie, IN                                              	     90580	   120.9	   749.4
 323	Temple, TX                                              	     90390	   140.1	   645.1
 324	Jackson, MI                                             	     90057	   149.4	   602.9
 325	Florence, SC                                            	     89557	   184.0	   486.7
 326	Santa Fe, NM                                            	     89284	   137.5	   649.4
 327	Mandeville--Covington, LA                               	     88925	   169.9	   523.4
 328	Blacksburg, VA                                          	     88542	   132.6	   667.6
 329	Portsmouth, NH--ME                                      	     88200	   240.0	   367.5
 330	Anderson, IN                                            	     88133	   171.1	   515.1
 331	Dover--Rochester, NH--ME                                	     88087	   172.0	   512.0
 332	Lawrence, KS                                            	     88053	    78.8	  1116.8
 333	Hanford, CA                                             	     87941	    71.9	  1223.9
 334	Tracy, CA                                               	     87569	    57.6	  1519.1
 335	State College, PA                                       	     87454	    74.7	  1171.4
 336	Port Huron, MI                                          	     87106	   156.6	   556.4
 337	Springfield, OH                                         	     85256	   126.8	   672.3
 338	Dalton, GA                                              	     85239	   209.3	   407.2
 339	Fajardo, PR                                             	     85225	   131.6	   647.8
 340	Lee's Summit, MO                                        	     85081	   107.0	   795.0
 341	Prescott Valley--Prescott, AZ                           	     84744	   132.0	   641.8
 342	Napa, CA                                                	     83913	    66.9	  1254.8
 343	Alton, IL--MO                                           	     83890	   141.9	   591.0
 344	Bend, OR                                                	     83794	   102.9	   814.7
 345	Manteca, CA                                             	     83578	    56.5	  1478.0
 346	Alexandria, LA                                          	     82804	   169.8	   487.8
 347	Joplin, MO                                              	     82775	   166.8	   496.2
 348	Missoula, MT                                            	     82157	   117.1	   701.7
 349	Bismarck, ND                                            	     81955	   100.4	   816.4
 350	Kankakee, IL                                            	     81926	    96.2	   851.2
 351	Livermore, CA                                           	     81624	    63.4	  1287.9
 352	Rapid City, SD                                          	     81251	   109.4	   742.5
